vcaaCode,schoolName,sector,suburb,nCompletedY12,nOnTrackConsenters,nOnTrackRespondents,nInEducationBachelorEnrolled,nInEducationDeferred,nInEducationTafeOrVetEnrolled,nInEducationApprenticeOrTrainee,nNotInEducationEmployed,nNotInEducationLookingForWork,nNotInEducationOther
01398,FOREST HILL COLLEGE,G,BURWOOD EAST,76,62,42,31,14,24,5,21,5,0
01400,YARRA VALLEY GRAMMAR,I,RINGWOOD,154,119,72,74,13,3,4,4,3,0
01401,TRINITY COLLEGE COLAC INC,C,COLAC REGION,98,85,48,21,40,6,17,13,2,2
01404,WILLIAMSTOWN HIGH SCHOOL,G,WILLIAMSTOWN,228,165,129,57,12,13,5,9,2,2
01408,CATHOLIC LADIES' COLLEGE LTD,C,ELTHAM,138,125,77,75,6,12,3,4,0,0
01410,EMMAUS COLLEGE,C,VERMONT SOUTH,210,175,125,58,10,15,8,5,4,0
01412,ST JOSEPH'S COLLEGE,C,ECHUCA,69,52,35,60,11,9,6,11,3,0
01413,HIGHVIEW COLLEGE,I,MARYBOROUGH REGION,46,34,22,68,5,5,0,18,5,0
01415,FITZROY HIGH SCHOOL,G,FITZROY NORTH,83,51,44,36,20,11,7,11,14,0
01418,IVANHOE GRAMMAR SCHOOL,I,IVANHOE,231,191,115,82,11,1,3,2,1,0
01421,SWAN HILL COLLEGE,G,SWAN HILL,90,63,43,30,12,12,21,23,2,0
01425,TRAFALGAR HIGH SCHOOL,G,TRAFALGAR (VIC.),65,59,43,40,12,2,12,26,5,5
01426,LORETO COLLEGE,C,BALLARAT,147,135,80,55,21,5,4,14,1,0
01427,JOHN PAUL COLLEGE,C,FRANKSTON NORTH,115,84,55,44,5,22,13,16,0,0
01429,MARIBYRNONG SECONDARY COLLEGE,G,MARIBYRNONG,165,165,114,53,16,7,7,13,3,2
01430,MOUNT ST JOSEPH GIRLS' COLLEGE,C,ALTONA,130,103,71,72,4,15,4,3,1,0
01431,MATER CHRISTI COLLEGE,C,BELGRAVE - SELBY,118,99,60,52,20,15,3,10,0,0
01434,WANGARATTA HIGH SCHOOL,G,WANGARATTA REGION,80,42,36,44,11,6,6,28,6,0
01436,MOOROOLBARK COLLEGE,G,MOOROOLBARK,86,78,60,38,13,13,8,15,8,3
01442,SHELFORD GIRLS' GRAMMAR,I,CAULFIELD - NORTH,66,66,43,91,5,0,2,2,0,0
01443,BROADFORD SECONDARY COLLEGE,G,KILMORE - BROADFORD,52,29,23,30,13,9,13,26,9,0
01448,RINGWOOD SECONDARY COLLEGE,G,RINGWOOD,254,232,166,45,13,16,9,11,5,1
01449,ST MICHAEL'S GRAMMAR SCHOOL,I,ST KILDA,135,98,67,72,12,10,0,3,3,0
01450,CASTLEMAINE SECONDARY COLLEGE,G,CASTLEMAINE REGION,67,54,43,30,33,7,7,19,5,0
01452,BUCKLEY PARK COLLEGE,G,ESSENDON - ABERFELDIE,153,106,69,72,6,7,4,6,4,0
01454,XAVIER COLLEGE,C,KEW,237,195,111,80,5,6,5,3,1,0
01456,ASSUMPTION COLLEGE,C,KILMORE - BROADFORD,200,123,68,53,7,12,15,10,3,0
01459,CHELTENHAM SECONDARY COLLEGE,G,CHELTENHAM - HIGHETT (EAST),132,114,78,54,8,14,5,17,1,1
01464,CAREY BAPTIST GRAMMAR SCHOOL,I,KEW,253,238,140,81,8,5,4,2,0,0
01466,PATTERSON RIVER SECONDARY COLLEGE,G,SEAFORD (VIC.),106,76,47,19,0,17,11,34,15,4
01467,JOHN FAWKNER SECONDARY COLLEGE,G,FAWKNER,36,22,18,22,11,22,6,28,11,0
01468,ELTHAM COLLEGE,I,RESEARCH - NORTH WARRANDYTE,58,53,37,68,16,3,5,3,3,3
01470,MARYBOROUGH EDUCATION CENTRE,G,MARYBOROUGH REGION,48,36,26,35,15,15,8,12,12,4
01476,ST JOSEPH'S COLLEGE MILDURA,C,MILDURA,61,48,27,48,11,26,7,0,7,0
01480,BALLARAT GRAMMAR,I,WENDOUREE - MINERS REST,143,124,82,72,11,10,2,5,0,0
01481,MONTEREY SECONDARY COLLEGE,G,FRANKSTON NORTH,25,24,13,23,8,8,23,15,15,8
01486,BEECHWORTH SECONDARY COLLEGE,G,BEECHWORTH,18,17,13,8,15,15,8,46,8,0
01487,NEWCOMB SECONDARY COLLEGE,G,NEWCOMB - MOOLAP,31,29,21,0,5,14,19,38,19,5
01493,SACRED HEART COLLEGE,C,NEWTOWN (VIC.),221,203,108,69,15,8,0,5,4,0
01494,MARIST-SION COLLEGE,C,WARRAGUL,103,89,64,50,6,13,19,6,6,0
01497,SCOTCH COLLEGE,I,HAWTHORN,235,179,116,86,3,6,4,0,0,0
01499,BLACKBURN HIGH SCHOOL,G,BLACKBURN,155,116,93,65,8,9,9,6,2,2
01500,RESERVOIR HIGH SCHOOL,G,RESERVOIR - EAST,73,40,28,68,7,14,0,7,0,4
01501,ST LEONARD'S COLLEGE,I,BRIGHTON EAST,154,124,80,79,11,3,6,0,1,0
01504,OUYEN P-12 COLLEGE,G,MILDURA REGION,17,17,12,58,17,0,8,8,8,0
01505,BRUNSWICK SECONDARY COLLEGE,G,BRUNSWICK,142,96,60,52,12,13,7,8,7,2
01508,YEA HIGH SCHOOL,G,YEA,46,39,22,36,0,27,5,18,14,0
01509,WELLINGTON SECONDARY COLLEGE,G,MULGRAVE,264,236,183,62,7,15,5,3,6,1
01511,SACRED HEART COLLEGE,C,KYNETON,109,88,53,43,15,13,15,6,8,0
01513,MELBA SECONDARY COLLEGE,G,CROYDON,80,54,44,39,7,16,14,9,14,2
01514,CAMBERWELL GIRLS GRAMMAR SCHOOL,I,SURREY HILLS (WEST) - CANTERBURY,86,67,38,89,5,3,0,0,3,0
01515,MOUNT LILYDALE MERCY COLLEGE,C,LILYDALE - COLDSTREAM,213,172,97,55,7,9,15,10,3,0
01516,GIPPSLAND GRAMMAR,I,SALE,86,68,45,47,27,9,9,4,2,2
01524,ST FRANCIS XAVIER COLLEGE,C,BEACONSFIELD - OFFICER,397,320,208,46,6,19,11,15,3,0
01525,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,G,SOUTHBANK,86,86,59,49,5,20,8,8,8,0
01526,WARRANDYTE HIGH SCHOOL,G,WARRANDYTE - WONGA PARK,67,47,34,29,12,18,12,15,12,3
01530,OXLEY CHRISTIAN COLLEGE,I,CHIRNSIDE PARK,69,38,24,83,4,4,4,0,4,0
01531,MOUNT CLEAR COLLEGE,G,BALLARAT - SOUTH,96,64,41,20,17,17,5,32,7,2
01532,MOUNT ROWAN SECONDARY COLLEGE,G,WENDOUREE - MINERS REST,23,17,12,8,8,17,0,25,33,8
01540,CATHERINE MCAULEY COLLEGE,C,BENDIGO,204,190,123,41,25,6,10,17,1,0
01542,BRIGHT P-12 COLLEGE,G,BRIGHT - MOUNT BEAUTY,27,25,21,24,24,14,14,24,0,0
01543,COBDEN TECHNICAL SCHOOL,G,CORANGAMITE - SOUTH,21,21,13,8,8,23,62,0,0,0
01553,HUME CENTRAL SECONDARY COLLEGE,G,BROADMEADOWS,117,59,48,42,10,21,13,6,8,0
01558,BILLANOOK COLLEGE,I,MOOROOLBARK,106,103,52,62,21,15,0,2,0,0
01560,BENTLEIGH SECONDARY COLLEGE,G,BENTLEIGH EAST,112,56,47,49,13,15,9,9,4,2
01562,GROVEDALE COLLEGE,G,GROVEDALE,106,84,56,34,7,20,13,20,7,0
01563,MACKILLOP CATHOLIC REGIONAL COLLEGE,C,WERRIBEE - SOUTH,200,118,79,54,6,11,11,13,4,0
01564,NEWHAVEN COLLEGE,I,PHILLIP ISLAND,77,57,35,46,17,14,11,11,0,0
01571,DONVALE CHRISTIAN COLLEGE,I,DONVALE - PARK ORCHARDS,96,60,52,85,6,2,2,4,2,0
01575,VICTORIA UNIVERSITY SECONDARY COLLEGE,G,ST ALBANS - NORTH,104,68,42,62,7,14,5,5,7,0
01577,LOYOLA COLLEGE,C,WATSONIA,207,129,78,69,4,5,8,6,5,3
01578,WANTIRNA COLLEGE,G,WANTIRNA,198,140,102,43,8,17,11,17,5,0
01579,WHEELERS HILL SECONDARY COLLEGE,G,WHEELERS HILL,62,49,30,43,17,23,0,17,0,0
01580,LEIBLER YAVNEH COLLEGE,I,ELSTERNWICK,39,35,18,39,44,6,11,0,0,0
01581,PHOENIX P-12 COMMUNITY COLLEGE,G,BALLARAT - SOUTH,76,74,59,22,12,22,10,20,10,3
01586,TRARALGON COLLEGE,G,TRARALGON,71,54,34,12,15,15,12,38,9,0
01590,MORNINGTON SECONDARY COLLEGE,G,MORNINGTON,198,155,106,30,15,14,9,29,2,0
01605,GOULBURN VALLEY GRAMMAR SCHOOL,I,SHEPPARTON - NORTH,84,80,63,52,25,6,10,6,0,0
01607,BEACONHILLS COLLEGE,I,PAKENHAM - NORTH,123,115,80,59,6,13,11,10,0,1
01621,ALBERT PARK COLLEGE,G,ALBERT PARK,184,130,97,55,21,11,2,6,5,0
01622,LILYDALE HEIGHTS COLLEGE,G,LILYDALE - COLDSTREAM,32,23,18,44,11,11,0,28,0,6
01626,GISBORNE SECONDARY COLLEGE,G,GISBORNE,120,108,80,24,16,20,15,18,6,1
01628,DIAMOND VALLEY COLLEGE,G,WATTLE GLEN - DIAMOND CREEK,110,94,63,24,14,21,13,21,6,2
01629,CAULFIELD GRAMMAR SCHOOL,I,WHEELERS HILL,170,135,93,80,9,3,3,2,2,1
01637,MOUNT ERIN SECONDARY COLLEGE,G,FRANKSTON SOUTH,89,65,48,35,19,10,13,17,6,0
01638,BORONIA K-12 COLLEGE,G,BORONIA - THE BASIN,32,22,14,14,21,0,14,36,14,0
01639,BOX HILL SENIOR SECONDARY COLLEGE,G,BOX HILL NORTH,105,82,43,33,9,14,12,12,21,0
01646,DROMANA SECONDARY COLLEGE,G,DROMANA,172,147,110,25,15,15,10,27,5,4
01648,FOOTSCRAY CITY COLLEGE,G,FOOTSCRAY,119,119,86,57,12,16,5,5,5,1
01651,SOUTH OAKLEIGH SECONDARY COLLEGE,G,OAKLEIGH - HUNTINGDALE,55,54,28,71,4,14,4,4,4,0
01655,STAUGHTON COLLEGE,G,MELTON SOUTH,82,52,34,35,3,21,12,15,15,0
01656,MULLAUNA SECONDARY COLLEGE,G,MITCHAM (VIC.),62,58,43,56,2,21,9,7,5,0
01660,THORNBURY HIGH SCHOOL,G,THORNBURY,164,129,103,53,8,9,11,10,8,2
01662,PORTLAND SECONDARY COLLEGE,G,PORTLAND,70,38,25,24,24,0,12,32,8,0
01664,SANDRINGHAM COLLEGE,G,SANDRINGHAM - BLACK ROCK,162,101,67,45,13,12,13,15,1,0
01672,WONTHAGGI SECONDARY COLLEGE,G,WONTHAGGI - INVERLOCH,153,79,44,23,25,14,11,25,2,0
01676,SUNSHINE COLLEGE,G,SUNSHINE,138,105,71,30,7,28,11,10,10,4
01678,ST PAUL'S ANGLICAN GRAMMAR SCHOOL,I,WARRAGUL,105,77,51,61,16,6,10,6,2,0
01680,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,SOMERVILLE,88,55,40,35,15,20,8,18,3,3
01681,STAWELL SECONDARY COLLEGE,G,STAWELL,41,40,28,18,18,18,14,25,7,0
01687,BENALLA P-12 COLLEGE,G,BENALLA REGION,56,47,28,11,32,7,14,29,4,4
01691,KURNAI COLLEGE,G,CHURCHILL,128,100,68,16,10,12,15,34,10,3
01701,THE KNOX SCHOOL,I,WANTIRNA SOUTH,66,42,21,76,0,14,10,0,0,0
01716,GLEN EIRA COLLEGE,G,CAULFIELD - NORTH,90,49,38,68,13,8,3,5,3,0
01719,WESTERN HEIGHTS SECONDARY COLLEGE,G,GEELONG WEST - HAMLYN HEIGHTS,63,63,37,16,11,16,22,11,22,3
01721,HEATHDALE CHRISTIAN COLLEGE,I,WERRIBEE,61,44,28,71,7,14,0,0,7,0
01729,ST MARY MACKILLOP COLLEGE,C,SWAN HILL,65,55,36,64,8,8,8,11,0,0
01732,EMERALD SECONDARY COLLEGE,G,EMERALD - COCKATOO,94,59,44,43,5,14,14,18,7,0
01734,MARIAN COLLEGE,C,SUNSHINE WEST,93,49,35,69,6,20,6,0,0,0
01736,ELISABETH MURDOCH COLLEGE,G,LANGWARRIN,207,207,151,19,17,17,15,25,7,1
01739,CRAIGIEBURN SECONDARY COLLEGE,G,CRAIGIEBURN - MICKLEHAM,83,78,57,39,7,14,5,23,9,4
01741,ST HELENA SECONDARY COLLEGE,G,GREENSBOROUGH,231,168,127,37,7,15,15,20,5,1
01742,HOPPERS CROSSING SECONDARY COLLEGE,G,HOPPERS CROSSING - SOUTH,178,178,133,35,8,17,9,16,11,4
01743,MERCY COLLEGE,C,COBURG NORTH,63,61,38,68,8,13,3,5,0,3
01749,BIALIK COLLEGE,I,HAWTHORN EAST,50,38,28,86,14,0,0,0,0,0
01750,NAZARETH COLLEGE,C,NOBLE PARK NORTH,98,89,51,47,6,24,4,10,10,0
01753,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,I,KEILOR,146,120,69,67,10,10,3,4,4,1
01754,KURUNJANG SECONDARY COLLEGE,G,MELTON,61,39,33,36,9,18,3,12,15,6
01786,PLENTY VALLEY CHRISTIAN COLLEGE,I,PANTON HILL - ST ANDREWS,66,35,24,67,4,8,17,4,0,0
01787,CHRISTIAN COLLEGE INSTITUTE OF SENIOR EDUCATION,I,HIGHTON,190,156,81,65,9,6,5,11,2,1
01788,MARY MACKILLOP CATHOLIC REGIONAL COLLEGE,C,LEONGATHA,73,44,24,50,17,0,13,21,0,0
01791,SUNBURY DOWNS SECONDARY COLLEGE,G,SUNBURY - SOUTH,92,48,38,55,3,11,3,24,3,3
01793,SAINT IGNATIUS COLLEGE GEELONG,C,CLIFTON SPRINGS,183,183,93,45,13,9,10,15,6,2
01799,BACCHUS MARSH GRAMMAR,I,BACCHUS MARSH,149,108,78,60,12,12,8,6,3,0
01816,WESLEY COLLEGE,I,GLEN WAVERLEY - WEST,150,142,90,78,6,7,6,3,1,0
01838,ROWVILLE SECONDARY COLLEGE,G,ROWVILLE - CENTRAL,222,147,118,33,8,25,3,20,8,3
01848,GIRTON GRAMMAR SCHOOL,I,BENDIGO,114,110,73,67,22,8,0,1,0,1
01877,BAYSIDE CHRISTIAN COLLEGE,I,LANGWARRIN,42,33,26,46,8,27,8,12,0,0
01884,ST PETER'S COLLEGE,C,CRANBOURNE WEST,197,157,109,49,6,15,11,16,3,2
01887,IVANHOE GRAMMAR SCHOOL,I,SOUTH MORANG,72,66,46,89,7,2,2,0,0,0
01889,TAYLORS LAKES SECONDARY COLLEGE,G,TAYLORS LAKES,193,110,84,40,8,20,14,12,4,1
01890,CHAIRO CHRISTIAN SCHOOL,I,DROUIN,89,56,32,56,16,3,6,6,13,0
01897,THE GRANGE P-12 COLLEGE,G,HOPPERS CROSSING - NORTH,119,94,56,41,9,21,7,16,5,0
01905,KARDINIA INTERNATIONAL COLLEGE,I,NORTH GEELONG - BELL PARK,203,162,91,64,19,5,7,4,1,0
01932,HILLCREST CHRISTIAN COLLEGE,I,CRANBOURNE EAST,100,100,54,74,7,11,2,2,2,2
01933,CASEY GRAMMAR SCHOOL,I,CRANBOURNE EAST,72,69,46,57,4,2,11,17,7,2
01934,THE KING DAVID SCHOOL,I,ARMADALE,39,36,27,59,30,4,4,0,4,0
01941,ST THOMAS AQUINAS COLLEGE,I,BUNYIP - GARFIELD,14,12,12,33,8,8,17,33,0,0
01942,NORTHSIDE CHRISTIAN COLLEGE,I,BUNDOORA - WEST,23,22,13,54,0,31,15,0,0,0
1063,CENTRE FOR ADULT EDUCATION,A,MELBOURNE,47,30,20,65,5,15,10,0,0,5
1108,SWINBURNE UNIVERSITY OF TECHNOLOGY - TAFE DIVISION,A,CROYDON,55,44,22,5,5,45,14,27,5,0
11313,ST AUGUSTINE'S COLLEGE,C,KYABRAM,49,34,20,30,30,10,20,10,0,0
11492,HOLY TRINITY LUTHERAN COLLEGE,I,HORSHAM REGION,17,10,10,50,20,0,20,0,10,0
11533,BELGRAVE HEIGHTS CHRISTIAN SCHOOL,I,BELGRAVE - SELBY,59,56,37,24,16,22,16,16,5,0
11535,ST ANDREWS CHRISTIAN COLLEGE,I,WANTIRNA SOUTH,39,39,28,75,7,7,4,4,4,0
11567,VICTORY LUTHERAN COLLEGE,I,WEST WODONGA,36,32,20,5,25,25,25,5,5,10
11576,VICTORY CHRISTIAN COLLEGE,I,EAST BENDIGO - KENNINGTON,20,15,10,60,10,0,20,10,0,0
11577,ILIM COLLEGE,I,CAMPBELLFIELD - COOLAROO,71,69,46,67,7,9,4,9,4,0
11585,GOOD NEWS LUTHERAN COLLEGE,I,TARNEIT,28,23,16,38,6,38,6,6,6,0
11586,SIRIUS COLLEGE,I,BROADMEADOWS,81,79,57,84,2,7,2,2,4,0
11592,DARUL ULUM COLLEGE OF VICTORIA,I,FAWKNER,39,26,19,89,5,0,0,5,0,0
11802,ANTONINE COLLEGE,C,PASCOE VALE SOUTH,64,53,36,56,3,25,6,8,3,0
11806,CATHOLIC REGIONAL COLLEGE,C,MELTON WEST,135,109,56,57,5,7,11,14,5,0
11808,THOMAS CARR COLLEGE,C,TARNEIT,174,98,61,56,2,16,7,11,7,2
1188,CHISHOLM INSTITUTE - DANDENONG CAMPUS,A,DANDENONG,159,126,71,4,3,23,27,20,20,4
12870,WILLIAM ANGLISS INSTITUTE OF TAFE,A,MELBOURNE,22,21,16,0,0,44,25,25,6,0
12911,LAKEVIEW SENIOR COLLEGE,G,CAROLINE SPRINGS,296,191,136,61,5,17,4,10,4,0
12967,MT HIRA COLLEGE,I,KEYSBOROUGH,35,31,22,45,9,32,9,0,5,0
13409,KAMBRYA COLLEGE,G,BERWICK - SOUTH,129,97,76,45,8,18,7,14,4,4
13427,WOODMANS HILL SECONDARY COLLEGE,G,BALLARAT - NORTH,22,20,16,44,6,13,6,19,13,0
13439,GLENEAGLES SECONDARY COLLEGE,G,ENDEAVOUR HILLS,162,85,71,51,11,20,4,10,4,0
13440,FOUNTAIN GATE SECONDARY COLLEGE,G,NARRE WARREN,105,105,69,62,6,13,1,12,6,0
13488,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,CARRUM DOWNS,65,38,31,45,13,10,13,19,0,0
13762,CATHEDRAL COLLEGE WANGARATTA,I,WANGARATTA REGION,54,50,38,42,21,13,8,11,5,0
14425,BEACONHILLS COLLEGE,I,BERWICK - NORTH,141,125,76,57,4,14,17,7,0,1
14495,BALCOMBE GRAMMAR SCHOOL,I,MOUNT MARTHA,71,56,39,44,28,10,10,3,5,0
14555,POINT COOK SENIOR SECONDARY COLLEGE,G,POINT COOK,235,138,95,48,8,17,6,11,9,0
14564,KOLBE CATHOLIC COLLEGE,C,GREENVALE - BULLA,154,154,91,56,4,20,12,2,5,0
14923,MANOR LAKES P-12 COLLEGE,G,WYNDHAM VALE,101,80,55,24,5,33,13,11,11,4
14924,ALKIRA SECONDARY COLLEGE,G,CRANBOURNE NORTH,125,72,56,57,2,7,13,11,9,2
14952,AL SIRAAT COLLEGE,I,EPPING,28,26,15,60,0,20,7,7,0,7
14992,JOHN MONASH SCIENCE SCHOOL,G,CLAYTON,227,149,135,94,1,1,1,1,1,0
14996,TINTERN GRAMMAR,I,RINGWOOD EAST,104,80,48,71,0,10,2,10,6,0
14997,HUME ANGLICAN GRAMMAR,I,CRAIGIEBURN - MICKLEHAM,50,42,31,94,0,6,0,0,0,0
15007,NOSSAL HIGH SCHOOL,G,BERWICK - NORTH,205,166,139,96,1,1,1,0,0,1
15008,MARYMEDE CATHOLIC COLLEGE,C,SOUTH MORANG,108,89,58,57,3,10,12,12,5,0
15044,CRANBOURNE EAST SECONDARY COLLEGE,G,CRANBOURNE EAST,129,83,60,43,7,7,10,27,5,2
15057,ST MARGARET'S SCHOOL,I,BEACONSFIELD - OFFICER,28,27,18,72,0,6,11,11,0,0
15066,SUZANNE CORY HIGH SCHOOL,G,WERRIBEE - SOUTH,229,128,110,89,1,2,5,2,1,0
15092,SOUTHERN CROSS GRAMMAR,I,TAYLORS HILL,25,25,14,79,0,0,7,14,0,0
15111,SURF COAST SECONDARY COLLEGE,G,TORQUAY,102,61,33,39,24,9,0,21,6,0
15120,TARNEIT SENIOR COLLEGE,G,TARNEIT,163,119,85,58,1,15,5,9,7,5
15343,MARIST COLLEGE BENDIGO,C,MAIDEN GULLY,66,55,35,17,26,14,17,26,0,0
15395,ILIM COLLEGE,I,CAMPBELLFIELD - COOLAROO,47,43,28,68,0,18,4,7,4,0
15458,HAILEYBURY GIRLS COLLEGE,I,NORTH MELBOURNE,172,158,84,87,5,4,1,2,1,0
1606,KANGAN INSTITUTE OF TAFE,A,BROADMEADOWS,43,28,18,0,0,50,11,22,17,0
